,,Detection Rate (Global Expression Specificity),,,,,,,,,,,,Detection Rate (Global Expression Specificity),,,,,,,
GeneID,Cluster,Recount2 TPM 0.1,Recount2 TPM 1.0,Recount2 RPKM 0.3,Recount2 RPKM 1.0,Dee2 TPM 0.1,Dee2 TPM 1.0,Dee2 RPKM 0.3,Dee2 RPKM 1.0,,,,,Recount2,,,,Dee2,,,
353355,Cluster:4,0.842661114,0.485186765,0.630885784,0.302410757,0.89346116,0.455916093,0.583235005,0.209914782,,,,,,,,,,,,
360200,Cluster:4,0.835411284,0.460050674,0.664174799,0.220154028,0.694493609,0.242674533,0.340462144,0.100376926,,,,,,,,,,,,
374879,Cluster:4,0.829014374,0.44427163,0.635200562,0.203948524,0.949328089,0.554703376,0.727122255,0.209013438,,,,,,,,,,,,
387787,Cluster:4,0.841983794,0.532749668,0.704211926,0.264631362,0.975696493,0.679056047,0.829908227,0.298770895,,,,,,,,,,,,
388574,Cluster:4,0.893108898,0.441863382,0.667109851,0.163886311,0.338380859,0.040412979,0.073549656,0.007866273,,,,,,,,,,,,
391059,Cluster:4,0.804706118,0.482301884,0.627449013,0.280686351,0.912078007,0.611176663,0.717076368,0.351769912,,,,,,,,,,,,
399900,Cluster:4,0.815367634,0.352055791,0.535509119,0.185435115,0.88166175,0.272894133,0.425368732,0.095919371,,,,,,,,,,,,
400512,Cluster:4,0.795223641,0.452173695,0.60785691,0.264380503,0.906178302,0.538364471,0.6679941,0.26273353,,,,,,,,,,,,
400954,Cluster:4,0.822567293,0.422271279,0.557083009,0.303890826,0.917273025,0.458964274,0.573877417,0.278580793,,,,,,,,,,,,
401612,Cluster:4,0.895742919,0.475629029,0.731179289,0.21368186,0.988970829,0.68862668,0.870255654,0.289314979,,,,,,,,,,,,
404281,Cluster:4,0.856659057,0.588540752,0.74512706,0.366881569,0.929990167,0.348312029,0.522418879,0.09151098,,,,,,,,,,,,
440300,Cluster:4,0.856157339,0.510523543,0.661992324,0.274740988,0.341527368,0.024303507,0.047050147,0.00373648,,,,,,,,,,,,
440952,Cluster:4,0.832250458,0.404961995,0.596367559,0.178912776,0.938823337,0.426204523,0.625155687,0.102540151,,,,,,,,,,,,
441242,Cluster:4,0.885507864,0.426586057,0.663698166,0.137696611,0.958554572,0.419944281,0.625811209,0.090281875,,,,,,,,,,,,
442590,Cluster:4,0.872337757,0.352632767,0.535659634,0.191480822,0.464962307,0.101098001,0.169305146,0.020337594,,,,,,,,,,,,
494513,Cluster:4,0.814389283,0.459900158,0.62328475,0.239420014,0.953703704,0.591166831,0.733923304,0.289675516,,,,,,,,,,,,
541473,Cluster:4,0.815969696,0.539974412,0.681333567,0.341895994,0.15806293,0.008849558,0.016420846,0.002425434,,,,,,,,,,,,
554206,Cluster:4,0.808343577,0.525324236,0.682462434,0.28954168,0.966879712,0.721599476,0.83769256,0.383235005,,,,,,,,,,,,
554251,Cluster:4,0.900760103,0.55873868,0.770714698,0.220354715,0.986955097,0.766830547,0.906588004,0.319927892,,,,,,,,,,,,
594840,Cluster:4,0.807039109,0.595941098,0.72847001,0.322805609,0.023303835,0.000803015,0.001409374,0.000229433,,,,,,,,,,,,
643338,Cluster:4,0.828813687,0.610365502,0.738328776,0.384140682,0.894526385,0.532366437,0.643444772,0.288774172,,,,,,,,,,,,
643382,Cluster:4,0.804179314,0.409251687,0.566339714,0.220003512,0.669813176,0.183792199,0.264650934,0.067469682,,,,,,,,,,,,
644660,Cluster:4,0.853372802,0.510598801,0.693199207,0.272959888,0.69957391,0.038921665,0.089478859,0.007292691,,,,,,,,,,,,
645967,Cluster:4,0.8252264,0.4947445,0.669819131,0.251135138,0.788036709,0.077859718,0.167649951,0.016912488,,,,,,,,,,,,
