  Cluster,Variable,     Q5,    Q10,    Q15,    Q20,    Q25,    Q30,    Q35,    Q40,    Q45,    Q50,    Q55,    Q60,    Q65,    Q70,    Q75,    Q80,    Q85,    Q90,    Q95
,Mean,45.3154,62.9553,75.55,86.166,95.823,105.067,114.215,123.44,132.846,142.611,152.95,164.052,176.179,189.689,205.23,223.87,247.654,281.39,342.1
,3rd Qu,54.8963,74.9919,89.25,100.861,111.209,120.889,130.728,141.8,152.193,162.689,174.525,188.036,199.952,214.346,231.7,252.67,277.101,314.42,386.5
,Max,82.7215,107.8796,126.63,139.675,150.618,159.732,167.709,175.16,187.428,215.292,247.427,281.991,321.215,363.103,412.98,471.05,539.148,617.87,773.5
Cluster:9,Min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1st Qu,43.51,65.76,81.9,96.01,108.4,120.7,133.4,144.9,156.9,168.4,180.6,193.9,207.1,221.9,238.9,258.6,283.5,318.2,375.4
,Median,55.17,78.36,95.42,109.29,122.4,135.3,147.7,160.3,172.9,185.5,199.4,213.7,229.2,245.7,266.7,289.7,318.9,362.1,437.9
,Mean,54.13,75.81,91.57,105.03,117.5,129.4,141.2,153,165.1,177.6,190.8,204.9,220.4,237.6,257.5,281.4,312.1,355.8,434.9
,3rd Qu,65.14,89.06,106.98,122.61,136.7,150.2,163.3,176.2,189.1,203.6,218.8,233.8,250.7,269.8,293.7,322.8,358.3,404.1,494.2
,Max,111.69,133.33,148.07,160.01,174.7,187.9,205.9,226.7,250.1,277.2,306.1,336,370.4,405.9,445.4,489.2,543.2,645.9,914.3
Cluster:93,Min,0,0,0,0,0.08477,0.1706,0.4184,0.8305,0.943,1.057,1.189,1.329,1.482,1.667,1.898,2.172,2.567,3.158,4.292
,1st Qu,59.98,90.19,112.5,131.1,148.8355,164.6598,180.4671,196.0461,212.151,225.766,243.57,260.65,278.652,298.338,322.504,349.724,382.313,428.397,517.244
,Median,74.5,105.2,130.1,150.3,171.591,189.1444,206.6209,223.9492,240.533,258.245,276.251,295.714,316.761,341.256,372.421,409.072,450.736,511.047,617.572
,Mean,74.93,106.29,129.5,149.5,168.11047,186.103,204.0042,222.2647,241.049,260.687,281.494,304.072,328.67,356.106,387.725,425.73,474.22,543.683,671.677
,3rd Qu,92.86,129.19,155,175.7,196.28365,216.4734,238.1132,260.4642,282.318,302.265,324.426,348.544,376.407,406.272,445.485,488.102,541.769,618.643,759.177
,Max,153.5,206.85,239.5,268,293.0236,316.3435,359.8934,407.7095,455.311,513.068,594.87,681.577,779.346,888.936,1011.304,1152.341,1310.536,1521.185,2259.813
Cluster:45,Min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1st Qu,83.83,122.5,152.4,180.6,207.2,234.2,257.6,281.7,306.5,329.9,349.6,375,396.6,425,456.6,491,541.5,614.3,736.5
,Median,101.27,149.6,183.5,213.1,241.2,267.4,293.8,319.9,347.1,374.5,403.4,434.6,465,500.7,546.7,595.1,655.6,742.7,903.3
,Mean,100.84,145.5,179.2,209.4,238.5,266.5,294.4,322.7,352,382.5,414.5,449.1,487,529.5,578.7,638.2,715.1,825.9,1030.1
,3rd Qu,125.48,178.9,215.1,244.3,277.2,305.1,337.4,369.4,400.9,433.7,476.7,517.1,565.3,617.5,681.2,752.7,846.4,978.5,1230.9
,Max,223.89,360.5,448.4,526.2,596.9,782.9,962.3,1126.6,1288.2,1446,1597.5,1753.7,1916,2087.9,2287.2,2541.6,2856,3284.2,4475.2
Cluster:64,Min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1st Qu,120.8,180.1,225.5,267,304.8,337.6,372.9,410.3,443.3,479.1,513.9,554.9,597.9,647.3,694.2,750.3,832.2,942.9,1122
,Median,157.6,221.2,270.5,319.7,360,403.5,448.4,490.5,537.7,588.1,633.3,686.8,738.2,791,869.5,985.8,1100.4,1228.2,1488
,Mean,159.7,232.7,289.5,340.6,389.5,437.8,486.7,536.9,589,643.6,701.8,764.6,833.2,909.4,997.5,1102.8,1238,1431.8,1781
,3rd Qu,205.1,281.1,344.3,405.5,455.5,509.6,568.2,629.5,687.9,753.9,820.3,887.3,955.5,1042.7,1163.3,1286.2,1437.4,1652,2021
,Max,365.6,626.9,837.3,1013.9,1162.6,1296.4,1421.9,1545.8,1716.8,1900.1,2105.5,2443.2,2866,3324.9,3892,4632.4,5503.2,6699.1,8986
Cluster:31,Min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1st Qu,255.5,371.3,456.3,528.6,591,660,725.6,787.7,856.1,928.4,1002,1090,1174,1267,1369,1472,1645,1861,2277
,Median,352.1,511.9,624.5,721.4,825.8,921.3,1054.9,1161.5,1292.5,1403,1518,1632,1756,1896,2039,2224,2463,2784,3311
,Mean,549,791.7,978.2,1143.6,1308.5,1471.1,1631.6,1794.2,1960.3,2133.9,2319,2520,2743,2998,3301,3681,4186,4939,6343
,3rd Qu,577.7,796.2,973.7,1154,1320.9,1464.8,1608.3,1758.3,1945.1,2117.4,2290,2475,2712,2977,3211,3492,4162,4747,5758
,Max,6139.2,8721.2,10772.1,12514.4,14159.9,15804.3,17468,19183.5,20854.5,22491.2,24161,26140,28377,31072,34412,38971,45363,55502,78852
